feature,importance
num__farmacs_totals,0.059432841604782086
cat__situacio_A,0.045226899201044266
cat__situacio_D,0.042887743210393806
num__diags_totals,0.042643316669031296
num__altres,0.04218696964013765
num__total_contactes_sanitaris,0.03503188989906948
num__ap_infermeria_domicili,0.03269289479864188
num__ap_infermeria_econsultes,0.030831924675146453
num__ap_visites_totals,0.029277541059030642
num__sistema_nervios,0.024434605043765673
num__polifarmacia_5,0.02345008732949979
num__antiinfecciosos_per_a_us_sistemic,0.021024155792843977
cat__grup_edat_90>,0.019090569303688434
num__ratio_urgencies_sobre_contactes,0.018738370480246666
num__multimorbiditat_10,0.01581904994411848
num__ap_n_tipus_visita_diferents,0.01572381567102103
num__interm_total_visites,0.015387320773548626
num__urg_total_visites,0.01521357911660626
num__ap_infermeria_telefonica,0.014814764725252507
num__interm_tipus_ingres_admissio_programada,0.014803948110766527
num__ap_metge_reactiva_presencial,0.014512655975036332
num__sistema_digestiu_i_metabolisme,0.01449036519978996
num__polifarmacia_10,0.014478620162276617
num__ap_infermeria_reactiva_presencial,0.014424173954949871
num__interm_procedencia_trasllat,0.013982823449440077
cat__grup_edat_70-75,0.013970582528273899
num__sistema_cardiovascular,0.013415462377271573
num__interm_tipus_activitat_hospitalitzacio_domiciliaria,0.01312432146263023
num__multimorbiditat_5,0.013009610099439307
num__urg_n_nivells_triatge,0.012164442840188359
num__ap_metge_econsultes,0.011365913829223495
num__ap_n_serveis_diferents,0.010741443148307087
cat__grup_edat_75-80,0.010576140982850915
num__signes_i_sintomes,0.010144618618402889
num__sistema_respiratori,0.009652630177646402
num__sang_i_organs_hematopoetics,0.009559494588783487
num__urg_n_iniciatives,0.009220196361364992
num__ap_metge_domicili,0.009125563540467398
num__ratio_hospital_sobre_contactes,0.009122688861818835
num__ap_analitiques_reactiva_presencial,0.008638965598365158
cat__grup_edat_85-90,0.008426155133436595
num__ap_treball_social_econsultes,0.008008421706912084
num__lab_mean_urea_serum,0.007250124285443343
num__hosp_tipus_ingres_admissio_urgent,0.006840512501822117
num__urg_triatge_risc_vital_potencial,0.006828823562902478
num__ap_metge_telefonica,0.0065097120696568775
num__hosp_tipus_activitat_hospitalitzacio_convencional,0.006281196818722411
num__sistema_musculoesqueletic,0.006185004683056758
num__dermatologics,0.006102430015340932
num__urg_iniciativa_propia,0.006085844333135924
num__interm_dies_gt14,0.005518861394871111
cat__sexe_H,0.005380317008351046
num__hosp_total_visites,0.005369659554568519
cat__sexe_D,0.005311965510293694
cat__grup_edat_80-85,0.0052694153175172394
num__organs_dels_sentits,0.005056523536656557
num__hosp_procedencia_domicili_o_residencia,0.004810717953382973
num__lab_mean_proteina_c_reactiva_pcr_serum,0.004494920804141668
num__preparats_hormonals_sistemics,0.004461795161062901
num__lab_n_proves_diferents,0.004450885933930845
num__ap_infermeria_proactiva_presencial,0.004276814590376147
num__ap_metge_proactiva_presencial,0.004149461828128091
num__lab_mean_glucosa_serum,0.003542741668631736
num__ap_urgencies_ap_reactiva_presencial,0.003531776725780729
num__problemes_salut_cronics,0.0034527358329151424
num__ap_analitiques_domicili,0.003399666061698504
num__lab_slope_urea_serum,0.003148498962338315
num__urg_iniciativa_professional_sanitari,0.0030602669356841255
num__urg_triatge_sense_risc_vital,0.0030059910986453635
num__ap_treball_social_reactiva_presencial,0.002900677952218838
num__lab_mean_aspartat_aminotransferasa_serum,0.002863478974950348
num__urg_triatge_n_d,0.0027595201296634364
num__problemes_salut_aguts,0.0026115987494438214
num__sistema_genitourinari_i_hormones_sexuals,0.0025402917017873297
num__productes_antiparasitaris_insecticides_i_repellents,0.0025252375171886912
num__hosp_dies_lt02,0.0024552564861016896
num__interm_tipus_activitat_hospitalitzacio_convencional,0.0024126498605860614
num__lab_slope_proteina_c_reactiva_pcr_serum,0.002194706051329796
num__lab_mean_bilirubina_serum,0.002110375087024839
num__ap_treball_social_telefonica,0.0019808322623100054
num__hosp_tipus_ingres_admissio_programada,0.0018085893801945007
num__lab_mean_alanina_aminotransferasa_serum,0.0017610472923363359
num__ap_urgencies_ap_domicili,0.0016355828790707448
num__hosp_dies_lt14,0.0015838912970734386
num__hosp_dies_lt07,0.0015796343680164458
num__lab_slope_glucosa_serum,0.0014628282163904197
num__hosp_procedencia_trasllat,0.0013781386675805023
num__problemes_salut_anomalia_congenita,0.0013408577234701397
num__antineoplasics_i_immunomoduladors,0.0013356293931654569
num__urg_triatge_risc_vital_previsible,0.0013190743608144913
num__problemes_salut_indefinits,0.0012735892085927877
num__hosp_tipus_activitat_cirurgia_major_ambulatoria_cma,0.001012962856629906
num__urg_triatge_no_urgent,0.0009477521313988027
num__hosp_dies_gt14,0.0008800484821871379
num__lab_slope_aspartat_aminotransferasa_serum,0.0007839157933214573
num__interm_dies_lt14,0.0006859726443200755
num__lab_mean_albumina_serum,0.0006423572982490875
num__lab_slope_alanina_aminotransferasa_serum,0.0006329263604298738
num__lab_slope_bilirubina_serum,0.0006098977306255131
num__ap_urgencies_ap_telefonica,0.0005592378874709808
num__ap_treball_social_domicili,0.0005567772119587884
num__interm_dies_lt07,0.0005388598910103621
num__diversos,0.0005350173614362975
num__lab_mean_proteina_serum,0.0004701036686783009
num__lab_mean_fosfatasa_alcalina_serum,0.0003925199535250439
num__hosp_tipus_activitat_hospitalitzacio_domiciliaria,0.0003171110221488667
num__interm_procedencia_domicili_o_residencia,0.0002975778936179067
num__problemes_salut_neoplasia_maligna,0.00029335013329264147
num__lab_slope_albumina_serum,0.00023697603520367406
num__interm_dies_lt02,0.00022505076536596204
num__interm_tipus_ingres_admissio_urgent,0.00014325753662226321
num__lab_slope_proteina_serum,0.00013082920699420065
num__lab_mean_ferritina_serum,0.0001091763426254928
num__ap_treball_social_proactiva_presencial,8.820212311094808e-05
num__lab_mean_colesterol_serum,7.876166048362995e-05
num__lab_mean_eritrosedimentacio_vsg_sang,7.281612769876827e-05
num__lab_slope_fosfatasa_alcalina_serum,6.70889895966683e-05
num__problemes_salut_neoplasia_benigna,6.437449385022187e-05
num__lab_mean_tirotropina_serum,4.150397025842123e-05
num__ap_analitiques_econsultes,3.0794944432936916e-05
num__lab_mean_ferro_serum,2.4216440945398487e-05
num__ap_analitiques_proactiva_presencial,2.278519316291268e-05
num__lab_mean_cobalamines_vitamina_b12_serum,1.5145798397142566e-05
num__lab_slope_colesterol_serum,7.496704260545649e-06
num__lab_mean_acid_folic_serum,4.428116045958518e-06
num__urg_triatge_risc_vital_immediat,2.9778767672261498e-06
num__urg_iniciativa_altres,0.0
num__urg_iniciativa_agents_de_l_autoritat,0.0
num__ap_urgencies_ap_econsultes,0.0
num__lab_mean_dimer_d_de_la_fibrina_immunoturbidimetria_plasma,0.0
num__lab_slope_acid_folic_serum,0.0
num__lab_mean_pro_bnp_serum,0.0
num__lab_slope_tirotropina_serum,0.0
num__lab_slope_pro_bnp_serum,0.0
num__lab_slope_eritrosedimentacio_vsg_sang,0.0
num__lab_slope_cobalamines_vitamina_b12_serum,0.0
num__lab_slope_ferro_serum,0.0
num__lab_slope_ferritina_serum,0.0
